#,,sentiment,text,Emotion
1,0,0,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",Sad
2,37,0,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,Anticipation
3,50,0,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are,Anticipation
4,73,0,"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.",Surprise
5,74,0,Why won't you show my location?!   http://twitpic.com/2y2es,Angry
6,95,0,Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435,Sad
7,99,0,A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,Fear
8,100,0, Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji,
9,106,0,Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014,Joy
10,117,0,ugh. cant sleep. its 1:30am.,Angry
11,170,0,Crazy wind today = no birding  http://ff.im/1XTTi,Fear
12,181,0,Check out my mug  http://www.erika-obscura.blogspot.com,Joy
13,184,0,Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM!,Anticipation
14,201,0,"@stustone Your show is whack. Way worse than whack, it's wiggety-whack.    :*(:*(:*(",Disgust
15,213,0,Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie ,Sad
16,218,0,@infinitydefines  omgawd i couldnt handle my cat being in heat all the time D: D:,Disgust
17,225,0,SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED ,Fear
18,286,0,"FML: So much for seniority, bc of technological ineptness, I now have to &quot;register&quot; for classes AGAIN ",Angry
19,290,0,"@LevenRambin: Take it easy, and be good to you. ",Joy
20,305,0,"Argh! I was suuuper sleepy an hour ago, now I'm wide awake.  Hope I don't stay up all night. :-/",Angry
21,310,0,"http://twitpic.com/2y2wr - according to my bro, our new puppy had a poo fight and was covered in poop  (picture stolen from him)",Anticipation
22,312,0,Su yin Huen tweeted I feel unbearable guilt. I made my staff cry  http://tinyurl.com/cw2l9t,Sad
23,335,0,getting annoyed easily today  &gt;&gt;&gt; biofuel proposal: getting annoyed easily today  &gt;&gt;&gt; biof.. http://tinyurl.com/ceprvs,Disgust
24,352,0,New Testament Test at 9:30 am,Anticipation
25,355,0,"http://twitpic.com/2y2yi - I love you, Buck.",Joy
26,359,0,Scratch that: du in heif (two in a half) cookies. My tum just can't take anymore shoog. Poots ,
27,369,0,@nchokkan https://www.mycomicshop.com/search?TID=395031 But all says not in stock,
28,384,0,Pepperoni rolls in L.A.?: I called Valentino's - they said that they had sausage rolls but no pepperoni rolls  http://tinyurl.com/cec5ka,
29,434,0,http://twitpic.com/2y34e - I wanna wear my Doc Martens out! Haven't worn them since December.,Anticipation
30,464,0,"My bathtub drain is fired: it haz 1 job 2 do, &amp; it iz FAIL. I got all Drano on its ass, &amp; iz STILL NOT DRAINING. I wanna shower, dangit!!",Angry
31,467,0,Duckling in famous children's book stolen from Boston's Public Garden - The Boston Globe http://tinyurl.com/dc2htx via @ShareThis OH NO!!,Surprise
32,474,0,"http://twitpic.com/2y36e - cant see the flowers falling  i dont have a camera, just my cellphone",
33,517,0,"http://is.gd/r8Zf,  http://is.gd/r8Zy, and  http://is.gd/r8ZG - test footage with my girlfriend (in HD) The dark one is underxposed",
34,521,0,Fraking app store is pissing me off   http://tinyurl.com/c4ooho,Angry
35,561,0,sad that the 'feet' of my macbook just fell off : sad that the 'feet' of my macbook just fell off ,Sad
36,564,0,http://twitpic.com/2y3cf - Filled with curry  the true indian in me is coming out,
37,568,0,Tumblr: This is exactly how it feels wearing a ï¿½tieï¿½  http://tinyurl.com/c8bvqh,
38,587,0,[-O] I wish the frogs weren't becoming extinct    http://tinyurl.com/cxe8w7,Sad
39,596,0,@nick_carter Come to the chat  just 15 minutes  please? http://fanclub.backstreetboys.com/chat.php,Anticipation
40,605,0,@danielledeleasa http://twitpic.com/2y1pe - I hate 2 B allergic  i want a puppy soo bad that i've already thought some cool names,Angry
41,639,0,"@louie094: shooting!?!! be careful, luisa",Fear
42,661,0,sad day: manu out for the season ,Sad
43,670,0,White trash vs us... We were outnumbered.  http://twitpic.com/2y3jp,Angry
44,688,0,wishes for good old cartoons to come back. ie: Captain Planet! Where's Wally! Daria! (sadness  ),Sad
45,692,0,"Four games this fall: Modern Warfare 2, Halo 3 ODST, Brutal Legend, and Bioshock 2 I need more cash",Anticipation
46,701,0,Re-pinging @Kyle44: Custom icons I made! =] look cool but the edges could be less square  might look bad on a diff background,Joy
47,735,0,Superneej: Morning! Bah Car won't start.. waiting for the ANWB.... ,Disgust
48,756,0,I'm up way to late to be working for a client 12:10 AM  #fb,Disgust
49,758,0,Back at work  @ John Muir Dr http://loopt.us/KoqAbg,
50,779,0,"there's a new kind of starburst: favereds. sounds fab, bc cherry and strawberry are MY fav red's but they added watermellon and its yucky ",Disgust
51,845,0,Why can't I sleep like her  http://twitpic.com/2y3ty,Joy
52,863,0,@beachbassbone: roomie was home all day. All he had to do was scratch at the door. Comforter has to goto large laundromat machines. ,
53,882,0,"worked his heart out today, doubling my weight at each station. Result: Stiff and pulled muscles... OUCH! ",Surprise
54,894,0,Sodding M25   http://twitpic.com/2y3y0,
55,895,0,oh I thought the pirate bay trial verdict was today :-s apparently it's in 10 days,Surprise
56,897,0,"is in study hall now, and i will log off immediately.  http://plurk.com/p/mzxbg",Anticipation
57,903,0,is craving for some tantan nabe  http://plurk.com/p/mzxcs,Anticipation
58,956,0,"Can't believe Cutner is dead on House! Sad day.  in Santa Rosa, CA http://loopt.us/ORPL3A",Sad
59,957,0,Damnit I was really digging this season of Reaper  http://www.tv.com/story/13720.html?ref_story_id=13720&amp;ref_type=1101&amp;ref_name=story,Angry
60,1002,0,definitely no vacation for me...   http://plurk.com/p/mzygb,Sad
61,1023,0,New Post!  http://tinyurl.com/cexkqy,Joy
62,1031,0,"#travian Total cost of the atk for the aggressor: 273,310 resources all said and done. I'm guessing he's not going to let that slide.",
63,1047,0,Meat Week Day 3: Tummy hurts every night,
64,1063,0,@_saffron  Why not? :[,Sad
65,1082,0,Jade is looking for a new home...  http://apps.facebook.com/dogbook/profile/view/4744827,
66,1083,0,damnnn! i missed 11:11,Angry
67,1086,0,"@transbay &quot;SFMTA Budget Proposal Hearing: tomorrow, April 7 at 2:00 pm (City Hall, Room 400). Sadly, I cannot attend.&quot; Me neither.",Sad
68,1097,0,job searching.....FYI: Yahoo HOT JOBS suck! .. im never going to find a job ,Angry
69,1112,0,I've finally given in. Now at Malaysian restaurant waiting for nasi lemak and teh Tarik. Mereka tak faham bm...  http://twitpic.com/2y4bh,
70,1151,0,Where's Derrick  http://ff.im/-1XWXs,
71,1152,0,Needs to stop sleeping all day.. Causes some problems when you're wide awake at 2:45am...,
72,1167,0,@twitter please fix this http://sp2.ro/5b7bdb because it brakes all external twitter avatar searches,
73,1180,0,"Not to self: licking off pudding from a seafood fork, not so enjoyable as slowly licking off of a spoon ",
74,1182,0,It just makes me happy! over and over again. I wish I wan't afraid to fly  http://tinyurl.com/64skpp,Joy
75,1193,0,It just makes me happy! over and over again! I just wish I wasn't afraid to fly  http://tinyurl.com/64skpp,Joy
76,1220,0,"I woke up an hour ago ... Now I'm having a hard time going back to bed  in Lakewood, CA http://loopt.us/rywlHQ",Anticipation
77,1221,0,Going to sleep with lily and rocki &lt;3 Johnathon is too busy watching batman movies  http://twitpic.com/2y4j5,
78,1222,0,@gaspitsnicole sigh me too  mostly i midd hsnging out with my friends damn growing up : p,Sad
79,1233,0,@gaspitsnicole sigh me too  mostly i miss hsnging out with my friends damn growing up : p oh yeah i miss being able to spell too lol,Sad
80,1237,0,: @nikicheong just reminded me that #KrispyKreme http://www.krispykreme.com.my/ has landed in Msia and has an ugly website ,Disgust
81,1248,0,"@eileenb I had that a while back (http://tinyurl.com/dmukpr), and I know some other people that have too ",
82,1254,0,@ientje89 aw i'm fine too thanks! yeah i miss you so much on the MFC  but hope we can talk later on today  kisses :huglove:,Joy
83,1257,0,This breaks my heart Navy Seal Marcus Luttrell's doggy  http://www.rightpundits.com/?p=3669 I am filled with rage.,Angry
84,1305,0,"Off to bed now, sick n can't sleep but will try w/ help of meds :s ",Anticipation
85,1344,0,Please watch this vid and tell me if you are not moved  http://www.youtube.com/watch?v=EUJSME0TORw,
86,1351,0,"@nicolerichie: Haha. Yeah, they were that band from MMC! I used to have a CD, but I lost it. ",Sad
87,1374,0,http://community.livejournal.com/ohnotheydidnt/33907252.html How freakin cool is that? Why doesnt shit like that happen to me?,Joy
88,1377,0,I think I need to get laid. Sad revolution I had earlier rofl  http://twurl.nl/ibz2wb,Sad
89,1428,0,"WTF?? T:SCC killed Derek Reese (Brian Austin Green), I actually liked that character! ",Angry
90,1431,0,"8:00am typical British morning. Cold, wet, road full of miserable angry drivers..... good times! I need a holiday",Angry
91,1434,0,"@Tubeyornot2B you and me both. I thought I found a tweetheart, but I guess not.  so the search continues.. :-\",Sad
92,1446,0,http://twitpic.com/2y4vn - remember these days? neither do i. siiiiike. i miss my old body  someday soon u shall be miiiiine.,Sad
93,1456,0,// :T I just asked my friend what piglet was (winnie the pooh.) ....seriously guys what is it ,
94,1529,0,Can't sleep. It's 2:05am--Ugh!!! I'm not even sleepy,Angry
95,1530,0,"How sad, I did not know Andy Hallet died  http://tinyurl.com/dhq7xv",Sad
96,1543,0,"sorry, I should say that this vid hits you hard, please beware the last 2 minutes especially  http://www.youtube.com/watch?v=EUJSME0TORw",Sad
97,1544,0,Wondering why gamebattles is down  http://bit.ly/qZuUY,
98,1563,0,Know exactly how you feel man  re: http://ff.im/1XTN7,
99,1574,0,"Can't belive it.. We're home!! So sleepy 4 hrs today..  in Round Rock, TX http://loopt.us/GEtn1w",
100,1588,0,@Amelia_Torode Have fun shopping ... but bear in mind the horrible forex truth  http://bit.ly/kHBN  ,
101,1616,0,terrified by the news from Italy  http://tinyurl.com/dhdpne,Fear
102,1651,0,Someone needs to give this baby a home!!! I would but it's a bit too soon  http://tinyurl.com/dzbppd,Joy
103,1655,0,Our trip has been canceled. See the latest blog post for info  http://kiwinova.blogspot.com/,Sad
104,1662,0,"@30SECONDSTOMARS: Thank's for your prayers, these days are very difficults",Sad
105,1685,0,"Back at :work, have to go to ::Zeist in a minute. But want to stay here to do some work ",
106,1703,0,"@smaffulli correction: they don't tell you, but a cert. is there. How you can use it is a different matter, and without Win yet another! ",
